               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.019815,            0.004662,           0.0026914,             0.96376,             0.95949,             0.94962,             0.86002,            0.014821,           0.0041455,           0.0093668,            0.007492,            0.007492,            0.007492
                  78,            0.019408,           0.0045633,           0.0026547,             0.96508,              0.9603,             0.94662,             0.83191,            0.014841,            0.004324,           0.0096691,            0.007459,            0.007459,            0.007459
                  79,            0.019552,           0.0043908,           0.0027647,             0.96572,              0.9603,             0.94847,             0.86037,            0.014911,           0.0041105,           0.0091379,            0.007426,            0.007426,            0.007426
                  80,            0.019261,           0.0043935,           0.0028875,             0.96548,              0.9603,             0.94923,             0.85633,            0.015318,           0.0038576,           0.0093751,            0.007393,            0.007393,            0.007393
                  81,            0.019308,           0.0045089,            0.002753,             0.96517,              0.9603,             0.95129,             0.86358,            0.015601,             0.00385,           0.0089795,             0.00736,             0.00736,             0.00736
                  82,            0.018781,           0.0043282,           0.0026579,             0.96514,              0.9603,              0.9526,             0.84364,            0.014686,           0.0041841,           0.0090776,            0.007327,            0.007327,            0.007327
                  83,            0.018941,           0.0045987,           0.0025258,             0.96415,              0.9603,             0.95178,             0.84718,            0.015164,           0.0039376,           0.0095038,            0.007294,            0.007294,            0.007294
                  84,            0.020074,            0.004412,           0.0027955,             0.95953,             0.95549,             0.95431,             0.85228,            0.014707,           0.0039821,           0.0096514,            0.007261,            0.007261,            0.007261
                  85,            0.019051,           0.0043647,           0.0026303,             0.96219,             0.95683,             0.95246,             0.87542,            0.014641,           0.0040191,           0.0097392,            0.007228,            0.007228,            0.007228
                  86,            0.019816,            0.004415,           0.0025416,             0.96104,             0.95721,             0.95036,             0.85782,            0.015899,           0.0041235,           0.0095222,            0.007195,            0.007195,            0.007195
                  87,            0.018509,           0.0043935,           0.0027197,             0.96346,             0.95676,             0.95221,             0.85868,            0.013948,           0.0041722,           0.0094003,            0.007162,            0.007162,            0.007162
                  88,            0.018775,           0.0044008,           0.0029307,             0.96348,             0.95664,             0.94828,             0.85498,            0.014172,           0.0044355,           0.0096884,            0.007129,            0.007129,            0.007129
                  89,            0.018425,           0.0044739,           0.0025872,             0.96511,              0.9561,             0.94875,             0.86084,             0.01399,           0.0040367,           0.0093305,            0.007096,            0.007096,            0.007096
                  90,            0.018885,           0.0044945,           0.0028528,             0.96177,             0.95812,             0.95136,             0.86469,            0.013616,           0.0040223,            0.009657,            0.007063,            0.007063,            0.007063
                  91,            0.018379,           0.0043214,           0.0027192,             0.96473,             0.95136,             0.95444,             0.86005,            0.014785,           0.0039115,           0.0096729,             0.00703,             0.00703,             0.00703
                  92,            0.017892,            0.004218,            0.002474,             0.96531,             0.95839,             0.95264,             0.85818,            0.014786,           0.0040024,           0.0096178,            0.006997,            0.006997,            0.006997
                  93,             0.01873,           0.0041763,           0.0028486,             0.96197,             0.95664,              0.9499,             0.85152,            0.014526,           0.0041052,           0.0098627,            0.006964,            0.006964,            0.006964
                  94,            0.018397,           0.0043496,           0.0025209,             0.96391,             0.95664,             0.94973,              0.8648,            0.013741,           0.0038977,           0.0096042,            0.006931,            0.006931,            0.006931
                  95,            0.018717,           0.0042725,           0.0025505,             0.96541,             0.95721,             0.95146,             0.86664,            0.013407,             0.00383,           0.0092537,            0.006898,            0.006898,            0.006898
                  96,            0.018191,           0.0044397,           0.0027022,             0.96437,             0.95617,             0.95131,             0.86622,            0.013285,           0.0039097,           0.0094424,            0.006865,            0.006865,            0.006865
                  97,            0.017448,           0.0043926,           0.0025377,             0.96482,             0.95571,             0.94866,             0.85605,            0.014105,           0.0039501,           0.0093127,            0.006832,            0.006832,            0.006832
                  98,            0.017522,           0.0042999,           0.0024463,             0.96331,             0.95573,             0.94657,             0.85967,             0.01314,            0.003763,           0.0093882,            0.006799,            0.006799,            0.006799
                  99,            0.017661,           0.0040955,           0.0025231,              0.9657,             0.95852,             0.95165,             0.86207,            0.014251,           0.0040056,           0.0094429,            0.006766,            0.006766,            0.006766
                 100,            0.018193,            0.004207,           0.0025355,             0.96505,             0.95664,             0.94979,             0.86604,            0.014163,           0.0041882,           0.0093844,            0.006733,            0.006733,            0.006733
                 101,            0.017509,           0.0042341,           0.0026738,             0.96322,             0.95578,             0.95386,             0.86639,            0.013699,           0.0039272,            0.009541,              0.0067,              0.0067,              0.0067
                 102,            0.017787,           0.0042753,           0.0024692,             0.96447,             0.95601,             0.94994,             0.85351,             0.01424,           0.0040019,           0.0097462,            0.006667,            0.006667,            0.006667
                 103,            0.017571,           0.0041639,           0.0025331,             0.96448,             0.95841,             0.94974,             0.84786,            0.014312,           0.0038652,           0.0093246,            0.006634,            0.006634,            0.006634
                 104,            0.017289,           0.0041619,           0.0027221,             0.96482,             0.95959,             0.95222,             0.85814,            0.013634,           0.0039422,           0.0093725,            0.006601,            0.006601,            0.006601
                 105,             0.01721,           0.0041347,           0.0024721,             0.96504,             0.95979,             0.95128,             0.87143,             0.01332,           0.0035442,           0.0094512,            0.006568,            0.006568,            0.006568
                 106,            0.017752,           0.0041602,           0.0025926,             0.96565,             0.95755,             0.95556,             0.87812,            0.013643,           0.0038011,           0.0098629,            0.006535,            0.006535,            0.006535
                 107,            0.016908,            0.004116,           0.0024451,             0.96526,             0.95892,              0.9563,             0.87085,            0.013179,           0.0039616,           0.0096217,            0.006502,            0.006502,            0.006502
                 108,            0.017514,           0.0040394,           0.0025293,              0.9647,             0.95992,             0.95705,             0.86508,            0.013667,           0.0039398,           0.0096521,            0.006469,            0.006469,            0.006469
                 109,            0.017469,           0.0042379,           0.0024796,             0.96508,             0.95971,             0.95257,             0.87066,            0.013828,           0.0038444,           0.0096538,            0.006436,            0.006436,            0.006436
                 110,            0.016679,           0.0039501,           0.0024894,             0.96525,             0.95911,             0.95308,             0.86963,            0.013156,           0.0038323,           0.0094938,            0.006403,            0.006403,            0.006403
                 111,            0.016718,            0.004004,           0.0026068,             0.96062,             0.95664,             0.95006,             0.86615,            0.012907,           0.0037618,           0.0098995,             0.00637,             0.00637,             0.00637
                 112,            0.016591,           0.0040239,           0.0023798,             0.95766,             0.95664,             0.94761,             0.87149,            0.012719,           0.0037214,            0.010063,            0.006337,            0.006337,            0.006337
                 113,            0.016742,           0.0042153,           0.0022891,             0.96423,             0.95144,             0.95146,             0.87817,            0.013559,           0.0038678,           0.0099958,            0.006304,            0.006304,            0.006304
                 114,            0.016891,           0.0040239,            0.002356,             0.96027,             0.95421,             0.95267,             0.87085,            0.012915,           0.0035988,            0.010189,            0.006271,            0.006271,            0.006271
                 115,            0.016453,           0.0039643,           0.0022946,             0.96584,             0.95868,             0.94892,             0.87153,            0.012693,           0.0035502,           0.0097173,            0.006238,            0.006238,            0.006238
                 116,            0.016179,           0.0038424,           0.0023947,             0.96545,             0.95936,             0.94985,             0.86967,            0.012619,            0.003505,           0.0096735,            0.006205,            0.006205,            0.006205
                 117,            0.016563,           0.0038719,           0.0024401,             0.96558,             0.95967,             0.95043,             0.87192,             0.01323,           0.0036312,           0.0094975,            0.006172,            0.006172,            0.006172
                 118,            0.016652,           0.0040187,           0.0022855,             0.96556,             0.95801,             0.95048,             0.86658,             0.01317,           0.0036047,           0.0095062,            0.006139,            0.006139,            0.006139
                 119,            0.016064,           0.0039945,           0.0025668,              0.9646,             0.95578,             0.95163,             0.87785,             0.01297,            0.003496,            0.009727,            0.006106,            0.006106,            0.006106
                 120,            0.017087,           0.0038424,           0.0022933,             0.96393,             0.95585,             0.95436,             0.87247,             0.01379,            0.003517,            0.009942,            0.006073,            0.006073,            0.006073
